step,x,y,reward
0,5.000000,5.000000,0.000000
1,5.997160,6.000000,0.000000
2,6.895688,6.991902,0.000000
3,7.885305,6.991902,0.000000
4,7.984971,6.991902,0.000000
5,7.984971,6.991902,0.000000
6,7.984971,6.991902,0.000000
7,7.984971,6.991902,0.000000
8,7.984971,6.991902,0.000000
9,7.984971,6.991902,0.000000
10,7.984971,6.991902,0.000000
11,7.984971,6.991902,0.000000
12,7.984971,6.991902,0.000000
13,7.984971,6.991902,0.000000
14,7.984971,6.991902,0.000000
15,7.984971,6.991902,0.000000
16,7.984971,6.991902,0.000000
17,7.984971,6.991902,0.000000
18,7.984971,6.991902,0.000000
19,7.984971,6.991902,0.000000
20,7.984971,6.991902,0.000000
21,7.984971,6.991902,0.000000
22,7.984971,6.991902,0.000000
23,7.984971,6.991902,0.000000
24,7.984971,6.991902,0.000000
25,7.984971,6.991902,0.000000
26,7.984971,6.991902,0.000000
27,7.984971,6.991902,0.000000
28,7.984971,6.991902,0.000000
29,7.984971,6.991902,0.000000
30,7.984971,6.991902,0.000000
31,7.984971,6.991902,0.000000
32,7.984971,6.991902,0.000000
33,7.984971,6.991902,0.000000
34,7.984971,6.991902,0.000000
35,7.984971,6.991902,0.000000
36,7.984971,6.991902,0.000000
37,7.984971,6.991902,0.000000
38,7.984971,6.991902,0.000000
39,7.984971,6.991902,0.000000
40,7.984971,6.991902,0.000000
41,7.984971,6.991902,0.000000
42,7.984971,6.991902,0.000000
43,7.984971,6.991902,0.000000
44,7.984971,6.991902,0.000000
45,7.984971,6.991902,0.000000
46,7.984971,6.991902,0.000000
47,7.984971,6.991902,0.000000
48,7.984971,6.991902,0.000000
49,7.984971,6.991902,0.000000
50,7.984971,6.991902,0.000000
51,7.984971,6.991902,0.000000
52,7.984971,6.991902,0.000000
53,7.984971,6.991902,0.000000
54,7.984971,6.991902,0.000000
55,7.984971,6.991902,0.000000
56,7.984971,6.991902,0.000000
57,7.984971,6.991902,0.000000
58,7.984971,6.991902,0.000000
59,7.984971,6.991902,0.000000
60,7.984971,6.991902,0.000000
61,7.984971,6.991902,0.000000
62,7.984971,6.991902,0.000000
63,7.984971,6.991902,0.000000
64,7.984971,6.991902,0.000000
65,7.984971,6.991902,0.000000
66,7.984971,6.991902,0.000000
67,7.984971,6.991902,0.000000
68,7.984971,6.991902,0.000000
69,7.984971,6.991902,0.000000
70,7.984971,6.991902,0.000000
71,7.984971,6.991902,0.000000
72,7.984971,6.991902,0.000000
73,7.984971,6.991902,0.000000
74,7.984971,6.991902,0.000000
75,7.984971,6.991902,0.000000
76,7.984971,6.991902,0.000000
77,7.984971,6.991902,0.000000
78,7.984971,6.991902,0.000000
79,7.984971,6.991902,0.000000
80,7.984971,6.991902,0.000000
81,7.984971,6.991902,0.000000
82,7.984971,6.991902,0.000000
83,7.984971,6.991902,0.000000
84,7.984971,6.991902,0.000000
85,7.984971,6.991902,0.000000
86,7.984971,6.991902,0.000000
87,7.984971,6.991902,0.000000
88,7.984971,6.991902,0.000000
89,7.984971,6.991902,0.000000
90,7.984971,6.991902,0.000000
91,7.984971,6.991902,0.000000
92,7.984971,6.991902,0.000000
93,7.984971,6.991902,0.000000
94,7.984971,6.991902,0.000000
95,7.984971,6.991902,0.000000
96,7.984971,6.991902,0.000000
97,7.984971,6.991902,0.000000
98,7.984971,6.991902,0.000000
99,7.984971,6.991902,0.000000
100,7.984971,6.991902,0.000000
101,5.000000,5.000000,0.000000
1,5.995702,6.000000,0.000000
2,6.895702,6.994601,0.000000
3,7.882066,6.994601,0.000000
4,7.982067,6.994601,0.000000
5,7.982067,6.994601,0.000000
6,7.982067,6.994601,0.000000
7,7.982067,6.994601,0.000000
8,7.982067,6.994601,0.000000
9,7.982067,6.994601,0.000000
10,7.982067,6.994601,0.000000
11,7.982067,6.994601,0.000000
12,7.982067,6.994601,0.000000
13,7.982067,6.994601,0.000000
14,7.982067,6.994601,0.000000
15,7.982067,6.994601,0.000000
16,7.982067,6.994601,0.000000
17,7.982067,6.994601,0.000000
18,7.982067,6.994601,0.000000
19,7.982067,6.994601,0.000000
20,7.982067,6.994601,0.000000
21,7.982067,6.994601,0.000000
22,7.982067,6.994601,0.000000
23,7.982067,6.994601,0.000000
24,7.982067,6.994601,0.000000
25,7.982067,6.994601,0.000000
26,7.982067,6.994601,0.000000
27,7.982067,6.994601,0.000000
28,7.982067,6.994601,0.000000
29,7.982067,6.994601,0.000000
30,7.982067,6.994601,0.000000
31,7.982067,6.994601,0.000000
32,7.982067,6.994601,0.000000
33,7.982067,6.994601,0.000000
34,7.982067,6.994601,0.000000
35,7.982067,6.994601,0.000000
36,7.982067,6.994601,0.000000
37,7.982067,6.994601,0.000000
38,7.982067,6.994601,0.000000
39,7.982067,6.994601,0.000000
40,7.982067,6.994601,0.000000
41,7.982067,6.994601,0.000000
42,7.982067,6.994601,0.000000
43,7.982067,6.994601,0.000000
44,7.982067,6.994601,0.000000
45,7.982067,6.994601,0.000000
46,7.982067,6.994601,0.000000
47,7.982067,6.994601,0.000000
48,7.982067,6.994601,0.000000
49,7.982067,6.994601,0.000000
50,7.982067,6.994601,0.000000
51,7.982067,6.994601,0.000000
52,7.982067,6.994601,0.000000
53,7.982067,6.994601,0.000000
54,7.982067,6.994601,0.000000
55,7.982067,6.994601,0.000000
56,7.982067,6.994601,0.000000
57,7.982067,6.994601,0.000000
58,7.982067,6.994601,0.000000
59,7.982067,6.994601,0.000000
60,7.982067,6.994601,0.000000
61,7.982067,6.994601,0.000000
62,7.982067,6.994601,0.000000
63,7.982067,6.994601,0.000000
64,7.982067,6.994601,0.000000
65,7.982067,6.994601,0.000000
66,7.982067,6.994601,0.000000
67,7.982067,6.994601,0.000000
68,7.982067,6.994601,0.000000
69,7.982067,6.994601,0.000000
70,7.982067,6.994601,0.000000
71,7.982067,6.994601,0.000000
72,7.982067,6.994601,0.000000
73,7.982067,6.994601,0.000000
74,7.982067,6.994601,0.000000
75,7.982067,6.994601,0.000000
76,7.982067,6.994601,0.000000
77,7.982067,6.994601,0.000000
78,7.982067,6.994601,0.000000
79,7.982067,6.994601,0.000000
80,7.982067,6.994601,0.000000
81,7.982067,6.994601,0.000000
82,7.982067,6.994601,0.000000
83,7.982067,6.994601,0.000000
84,7.982067,6.994601,0.000000
85,7.982067,6.994601,0.000000
86,7.982067,6.994601,0.000000
87,7.982067,6.994601,0.000000
88,7.982067,6.994601,0.000000
89,7.982067,6.994601,0.000000
